peakID, mass, rt, intensity
2, 80.535426, 192.0, 1611.0
3, 82.015549, 190.02, 26747.0
4, 82.014793, 229.98, 6740.0
5, 85.961566, 190.02, 3988.0
6, 85.951285, 112.02, 229.0
7, 83.016217, 192.0, 5147.0
8, 83.009157, 228.0, 2443.0
9, 82.069446, 97.98, 776.0
10, 84.047313, 202.02, 13860.0
11, 84.838313, 190.02, 499.0
12, 81.034577, 223.98, 1363.0
13, 87.996718, 190.02, 7512.0
14, 116.075222, 48.0, 694.0
15, 86.990505, 190.02, 43417.0
16, 86.993958, 232.02, 6857.0
17, 145.108011, 30.0, 2987.0
18, 181.009281, 13.98, 175.0
19, 182.127715, 7.98, 250.0
20, 77.037384, 573.96, 412.0
21, 126.098817, 124.02, 986.0
22, 106.067763, 133.98, 978.0
23, 145.110486, 163.98, 3067.0
24, 117.08184, 78.0, 820.0
25, 83.523683, 192.0, 1032.0
26, 240.032547, 220.02, 3836.0
27, 84.015847, 187.98, 3563.0
28, 117.983411, 157.98, 2516.0
29, 84.081982, 270.0, 18033.0
30, 118.965692, 162.0, 2501.0
31, 137.137689, 118.02, 2290.0
32, 137.019938, 60.0, 848.0
33, 170.964795, 52.02, 461.0
34, 160.982333, 138.0, 280.0
35, 115.091039, 169.98, 1863.0
36, 186.991396, 43.98, 224.0
37, 176.118086, 52.02, 392.0
38, 358.910062, 6.0, 187.0
39, 96.04509, 190.02, 767.0
40, 134.091045, 79.98, 211.0
41, 100.028121, 190.02, 24984.0
42, 100.027757, 228.0, 6460.0
43, 92.527412, 192.0, 1294.0
44, 167.041038, 58.02, 1866.0
45, 193.164688, 43.98, 1111.0
46, 200.208518, 48.0, 230.0
47, 239.105898, 24.0, 579.0
48, 168.970374, 127.98, 157.0
49, 247.206639, 42.0, 572.0
50, 85.047024, 441.96, 1572.0
51, 142.120401, 150.0, 621.0
52, 102.0308, 190.02, 2790.0
53, 92.950334, 192.0, 570.0
54, 127.980011, 168.0, 110.0
55, 154.122403, 144.0, 278.0
56, 225.062293, 10.02, 957.0
57, 101.020835, 192.0, 8964.0
58, 264.923648, 42.0, 269.0
59, 360.858478, 24.0, 251.0
60, 84.081685, 223.98, 28940.0
61, 233.990688, 60.0, 106.0
62, 105.007246, 190.02, 18455.0
63, 428.86159, 13.98, 362.0
64, 107.000232, 187.98, 3546.0
65, 134.951367, 144.0, 226.0
66, 118.044296, 190.02, 6482.0
67, 338.849713, 30.0, 127.0
68, 110.012586, 190.02, 18321.0
69, 110.015362, 228.0, 4624.0
70, 353.080448, 30.0, 191.0
71, 131.979113, 168.0, 219.0
72, 130.024717, 186.0, 5216.0
73, 198.945503, 78.0, 138.0
74, 91.531837, 193.98, 164.0
75, 458.841069, 19.98, 131.0
76, 96.9913, 190.02, 2008.0
77, 85.076865, 264.0, 2483.0
78, 92.527896, 228.0, 521.0
79, 122.05703, 184.02, 1035.0
80, 255.231218, 73.98, 1456.0
81, 112.010745, 190.02, 3180.0
82, 308.892454, 55.98, 145.0
83, 273.209068, 96.0, 460.0
84, 224.066684, 90.0, 273.0
85, 223.238678, 120.0, 212.0
86, 101.011302, 226.02, 5170.0
87, 125.987768, 193.98, 1898.0
88, 100.54033, 190.02, 96.0
89, 105.535779, 192.0, 457.0
90, 209.962198, 96.0, 225.0
91, 97.996152, 187.98, 2104.0
92, 123.024094, 192.0, 3447.0
93, 232.915463, 108.0, 745.0
94, 128.025176, 190.02, 27616.0
95, 128.026808, 228.0, 8725.0
96, 85.034804, 228.0, 2188.0
97, 103.992647, 238.02, 967.0
98, 281.943782, 79.98, 850.0
99, 90.01035, 226.02, 835.0
100, 116.992365, 228.0, 5561.0
101, 113.005822, 192.0, 3428.0
102, 129.021838, 190.02, 7586.0
103, 93.021671, 226.02, 1383.0
104, 265.17451, 79.98, 208.0
105, 90.010492, 198.0, 328.0
106, 354.887735, 67.98, 171.0
107, 153.97685, 174.0, 257.0
108, 187.127063, 154.02, 1846.0
109, 247.2344, 130.02, 827.0
110, 86.095794, 270.0, 29472.0
111, 193.162446, 142.02, 1356.0
112, 134.939293, 178.02, 197.0
113, 163.037772, 187.98, 16742.0
114, 271.224839, 130.02, 897.0
115, 146.03863, 190.02, 7912.0
116, 146.03141, 228.0, 3588.0
117, 360.908075, 60.0, 274.0
118, 107.959154, 193.98, 392.0
119, 177.130103, 160.02, 3116.0
120, 98.017588, 226.02, 2269.0
121, 106.010478, 190.02, 2750.0
122, 182.986297, 184.02, 8075.0
123, 88.01661, 232.02, 1280.0
124, 381.3686, 106.02, 97.0
125, 285.312943, 126.0, 268.0
126, 144.001692, 192.0, 2369.0
127, 166.95464, 162.0, 805.0
128, 145.023892, 192.0, 7058.0
129, 92.008689, 226.02, 1577.0
130, 106.114977, 214.02, 1411.0
131, 119.965753, 210.0, 1999.0
132, 188.149919, 154.02, 1728.0
133, 88.073665, 211.98, 1495.0
134, 103.982332, 208.02, 1003.0
135, 191.041353, 223.98, 65953.0
136, 131.014071, 226.02, 7053.0
137, 131.025576, 190.02, 5675.0
138, 105.112121, 214.02, 25970.0
139, 112.050814, 223.98, 1469.0
140, 105.947019, 196.02, 1210.0
141, 185.936989, 162.0, 648.0
142, 232.953574, 130.02, 255.0
143, 114.895603, 208.02, 3577.0
144, 164.102604, 180.0, 560.0
145, 135.047228, 184.02, 948.0
146, 342.881571, 124.02, 141.0
147, 197.117237, 172.02, 1431.0
148, 114.959945, 193.98, 1714.0
149, 183.980862, 181.98, 1639.0
150, 97.029554, 223.98, 7239.0
151, 158.926009, 186.0, 1094.0
152, 159.053491, 187.98, 2779.0
153, 350.957542, 90.0, 251.0
154, 157.050372, 187.98, 2551.0
155, 160.052282, 190.02, 1941.0
156, 115.97442, 196.02, 2432.0
157, 161.031389, 226.02, 16473.0
158, 161.031577, 192.0, 11604.0
159, 120.984274, 192.0, 2022.0
160, 195.10863, 160.02, 2489.0
161, 77.036456, 474.0, 360.0
162, 147.039853, 187.98, 2731.0
163, 359.83383, 106.02, 323.0
164, 132.029242, 226.02, 1434.0
165, 130.086645, 223.98, 39023.0
166, 130.088493, 270.0, 18859.0
167, 132.050576, 193.98, 958.0
168, 124.98575, 196.02, 3865.0
169, 207.045012, 226.02, 20219.0
170, 207.055617, 187.98, 5728.0
171, 166.068654, 190.02, 2440.0
172, 209.96625, 166.02, 146.0
173, 139.057396, 220.02, 2074.0
174, 132.970966, 193.98, 2086.0
175, 164.976712, 180.0, 2017.0
176, 95.011818, 228.0, 1468.0
177, 139.918183, 210.0, 1681.0
178, 109.028953, 226.02, 1255.0
179, 133.989295, 196.02, 6123.0
180, 119.498014, 193.98, 335.0
181, 107.016397, 226.02, 971.0
182, 112.899608, 208.02, 7529.0
183, 252.975113, 181.98, 3311.0
184, 175.493595, 178.02, 312.0
185, 245.902179, 163.98, 686.0
186, 419.80793, 78.0, 117.0
187, 138.010042, 193.98, 1275.0
188, 176.028259, 226.02, 8060.0
189, 176.039941, 190.02, 6133.0
190, 137.507992, 193.98, 2672.0
191, 121.035539, 226.02, 1831.0
192, 96.014622, 226.02, 642.0
193, 123.963975, 196.02, 1992.0
194, 206.097311, 181.98, 927.0
195, 231.107809, 190.02, 4592.0
196, 186.913522, 186.0, 631.0
197, 127.037252, 226.02, 4161.0
198, 175.039875, 190.02, 15611.0
199, 360.841957, 100.02, 181.0
200, 189.039786, 196.02, 11113.0
201, 141.979935, 196.02, 3385.0
202, 130.049985, 199.98, 9163.0
203, 169.022613, 226.02, 9127.0
204, 169.030203, 190.02, 4635.0
205, 125.480255, 193.98, 271.0
206, 127.016048, 196.02, 1343.0
207, 128.994164, 223.98, 8013.0
208, 127.480817, 193.98, 484.0
209, 113.017299, 226.02, 5380.0
210, 128.497739, 193.98, 577.0
211, 129.142307, 196.02, 162.0
212, 216.958452, 187.98, 9943.0
213, 118.094416, 220.02, 4421.0
214, 122.542103, 196.02, 135.0
215, 193.048195, 190.02, 3457.0
216, 142.99974, 193.98, 3569.0
217, 87.044924, 259.98, 5987.0
218, 130.545613, 196.02, 685.0
219, 165.02964, 192.0, 5102.0
220, 165.023746, 223.98, 3915.0
221, 202.111238, 180.0, 468.0
222, 131.54302, 193.98, 190.0
223, 139.018265, 198.0, 969.0
224, 327.069054, 166.02, 2752.0
225, 145.497397, 193.98, 1893.0
226, 200.049815, 223.98, 66310.0
227, 261.141167, 190.02, 1552.0
228, 200.979487, 184.02, 3310.0
229, 332.834886, 138.0, 153.0
230, 197.064776, 186.0, 1518.0
231, 129.52429, 198.0, 998.0
232, 122.029965, 226.02, 578.0
233, 201.981803, 181.98, 520.0
234, 166.570646, 192.0, 341.0
235, 138.530028, 198.0, 3603.0
236, 199.93849, 187.98, 596.0
237, 134.489062, 193.98, 638.0
238, 134.989966, 196.02, 1891.0
239, 138.060995, 217.98, 17361.0
240, 137.03665, 226.02, 3871.0
241, 154.50133, 196.02, 898.0
242, 245.20199, 160.02, 408.0
243, 136.493204, 193.98, 597.0
244, 187.042803, 187.98, 3265.0
245, 221.959825, 180.0, 558.0
246, 188.949435, 187.98, 406.0
247, 224.071275, 186.0, 468.0
248, 136.937809, 199.98, 3453.0
249, 254.946088, 192.0, 1493.0
250, 247.20134, 168.0, 367.0
251, 218.103698, 186.0, 1258.0
252, 277.215735, 166.02, 1089.0
253, 222.144196, 180.0, 183.0
254, 184.598501, 192.0, 293.0
255, 190.136636, 190.02, 936.0
256, 154.033814, 223.98, 5021.0
257, 115.026974, 226.02, 1764.0
258, 262.949045, 192.0, 1274.0
259, 198.945899, 186.0, 3892.0
260, 176.921312, 190.02, 556.0
261, 133.034451, 226.02, 2849.0
262, 156.985851, 222.0, 3652.0
263, 231.970986, 190.02, 1518.0
264, 204.939454, 184.02, 920.0
265, 147.014587, 223.98, 8534.0
266, 236.96294, 186.0, 2705.0
267, 229.944515, 178.02, 324.0
268, 110.979215, 222.0, 11319.0
269, 217.970238, 192.0, 2745.0
270, 233.944253, 190.02, 1051.0
271, 167.025708, 223.98, 7573.0
272, 218.983374, 186.0, 8056.0
273, 163.564009, 193.98, 339.0
274, 270.956274, 186.0, 1973.0
275, 214.096872, 187.98, 1141.0
276, 219.979865, 190.02, 2998.0
277, 140.029095, 226.02, 1951.0
278, 162.031718, 223.98, 7285.0
279, 215.082579, 190.02, 3177.0
280, 214.929405, 187.98, 9804.0
281, 240.991127, 180.0, 275.0
282, 215.922384, 186.0, 260.0
283, 242.960743, 196.02, 3023.0
284, 216.070553, 186.0, 440.0
285, 147.539268, 223.98, 877.0
286, 143.492813, 196.02, 251.0
287, 220.984399, 186.0, 2433.0
288, 251.95006, 187.98, 1805.0
289, 119.527817, 223.98, 199.0
290, 223.960823, 181.98, 251.0
291, 146.173391, 198.0, 1054.0
292, 120.032661, 228.0, 1567.0
293, 150.983926, 196.02, 1812.0
294, 243.092405, 190.02, 2090.0
295, 134.025115, 223.98, 1198.0
296, 259.943092, 190.02, 1451.0
297, 146.498323, 193.98, 539.0
298, 276.946719, 190.02, 2151.0
299, 220.095789, 192.0, 813.0
300, 171.005218, 226.02, 13472.0
301, 170.996433, 193.98, 4914.0
302, 192.045524, 226.02, 14842.0
303, 192.054462, 196.02, 4854.0
304, 244.963853, 193.98, 1923.0
305, 245.102373, 193.98, 2703.0
306, 225.084164, 186.0, 1954.0
307, 171.549123, 196.02, 456.0
308, 266.947827, 192.0, 2241.0
309, 156.039728, 223.98, 6364.0
310, 172.955267, 196.02, 3681.0
311, 232.114678, 187.98, 1089.0
312, 119.024868, 223.98, 12065.0
313, 92.056015, 256.02, 2075.0
314, 232.939771, 187.98, 12325.0
315, 233.096321, 190.02, 2956.0
316, 112.527193, 226.02, 253.0
317, 360.906519, 187.98, 1819.0
318, 203.051485, 211.98, 32807.0
319, 124.040732, 228.0, 1950.0
320, 299.193982, 199.98, 1602.0
321, 239.101217, 186.0, 1321.0
322, 363.921048, 190.02, 1536.0
323, 253.093862, 186.0, 753.0
324, 239.957578, 187.98, 647.0
325, 253.964639, 192.0, 1558.0
326, 126.030787, 223.98, 1134.0
327, 227.08313, 190.02, 1724.0
328, 365.923001, 192.0, 1730.0
329, 153.026118, 223.98, 3702.0
330, 260.942979, 192.0, 2086.0
331, 138.542288, 226.02, 2191.0
332, 82.069983, 342.0, 6184.0
333, 82.070426, 306.0, 5907.0
334, 143.021412, 226.02, 5459.0
335, 175.003619, 223.98, 16886.0
