Name	Formula	Distribution	Masses	Adducts	Isotopes
4-Coumarate	[M1];[C9H8O3]n	0.9001869264943776 0.005549635211504378 0.001028712868473982 9.567077525683048E-5 9.318006259936693E-4 0.08762559488669616 5.402101191426982E-4 1.0013650988986597E-4 9.070292154370799E-5 0.0037909385031341327 0.9003940052078646 0.005550911847818567 0.001028949513254173 9.569278333145965E-5 7.249005377541727E-4 0.08764575225059872 5.403343889062242E-4 1.0015954526066594E-4 7.05629453004415E-5 0.0037918105694184035	165.05462057565077 167.05886635355077 166.05883745355075 168.06468508905076 166.06089732151077 166.05797541345078 168.06222119135077 167.06219229135078 167.06425215931077 167.06133025125078 163.04006767118923 165.04431344908923 164.04428454908924 166.05013218458924 164.04634441704923 164.04342250898924 166.04766828688926 165.04763938688924 165.04969925484923 165.04677734678924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]9[1H]9[16O]3 [12C]9[1H]9[16O]2[18O]1 [12C]9[1H]9[16O]2[17O]1 [12C]6[13C]3[1H]9[16O]3 [12C]9[1H]8[2H]1[16O]3 [12C]8[13C]1[1H]9[16O]3 [12C]8[13C]1[1H]9[16O]2[18O]1 [12C]8[13C]1[1H]9[16O]2[17O]1 [12C]8[13C]1[1H]8[2H]1[16O]3 [12C]7[13C]2[1H]9[16O]3 [12C]9[1H]7[16O]3 [12C]9[1H]7[16O]2[18O]1 [12C]9[1H]7[16O]2[17O]1 [12C]6[13C]3[1H]7[16O]3 [12C]9[1H]6[2H]1[16O]3 [12C]8[13C]1[1H]7[16O]3 [12C]8[13C]1[1H]7[16O]2[18O]1 [12C]8[13C]1[1H]7[16O]2[17O]1 [12C]8[13C]1[1H]6[2H]1[16O]3 [12C]7[13C]2[1H]7[16O]3
(R)-3-Hydroxybutanoate	[M1];[C4H8O3]n	0.9499323021190833 0.005856314502272885 0.001085560737006681 1.2034689023987712E-5 9.832930113895602E-4 0.04109683870483856 2.533612258134839E-4 4.696451990688969E-5 4.2540120173327814E-5 6.667383616826636E-4 0.9501508242429145 0.005857661686993318 0.0010858104590524195 1.203745748001274E-5 7.649593838446882E-4 0.041106292608507795 2.534195089490692E-4 4.697532361007135E-5 3.309437140256007E-5 6.668917379627516E-4	105.05462057565077 107.05886635355077 106.05883745355077 109.06311213145077 106.06089732151077 106.05797541345078 108.06222119135077 107.06219229135077 107.06425215931077 107.06133025125077 103.04006767118923 105.04431344908923 104.04428454908924 107.04855922698923 104.04634441704923 104.04342250898924 106.04766828688923 105.04763938688924 105.04969925484923 105.04677734678924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]9[16O]3 [12C]4[1H]9[16O]2[18O]1 [12C]4[1H]9[16O]2[17O]1 [12C]4[1H]9[16O]1[18O]2 [12C]4[1H]8[2H]1[16O]3 [12C]3[13C]1[1H]9[16O]3 [12C]3[13C]1[1H]9[16O]2[18O]1 [12C]3[13C]1[1H]9[16O]2[17O]1 [12C]3[13C]1[1H]8[2H]1[16O]3 [12C]2[13C]2[1H]9[16O]3 [12C]4[1H]7[16O]3 [12C]4[1H]7[16O]2[18O]1 [12C]4[1H]7[16O]2[17O]1 [12C]4[1H]7[16O]1[18O]2 [12C]4[1H]6[2H]1[16O]3 [12C]3[13C]1[1H]7[16O]3 [12C]3[13C]1[1H]7[16O]2[18O]1 [12C]3[13C]1[1H]7[16O]2[17O]1 [12C]3[13C]1[1H]6[2H]1[16O]3 [12C]2[13C]2[1H]7[16O]3
Phthalate	[M1];[C8H6O4]n	0.907920800338835 0.0074630858614217034 0.0013834012816293885 6.432848132886163E-5 7.309603047078036E-4 0.07855859750227871 6.457496712197495E-4 1.1969993905536817E-4 6.324694438793897E-5 0.0029738395597496614 0.9081296581501949 0.0074648026673131695 0.0013837195188190262 6.434327943219116E-5 5.222346104165595E-4 0.07857666909699457 6.458982192681773E-4 1.1972747479117429E-4 4.5186781210611057E-5 0.002974523660853582	167.03388513347076 169.03813091137076 168.03810201137077 170.04394964687077 168.04016187933075 168.03723997127076 170.0414857491708 169.04145684917077 169.04351671713076 169.04059480907077 165.01933222900922 167.02357800690922 166.02354910690923 168.02939674240923 166.02560897486924 166.02268706680923 168.02693284470925 167.02690394470923 167.02896381266925 167.02604190460923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]8[1H]7[16O]4 [12C]8[1H]7[16O]3[18O]1 [12C]8[1H]7[16O]3[17O]1 [12C]5[13C]3[1H]7[16O]4 [12C]8[1H]6[2H]1[16O]4 [12C]7[13C]1[1H]7[16O]4 [12C]7[13C]1[1H]7[16O]3[18O]1 [12C]7[13C]1[1H]7[16O]3[17O]1 [12C]7[13C]1[1H]6[2H]1[16O]4 [12C]6[13C]2[1H]7[16O]4 [12C]8[1H]5[16O]4 [12C]8[1H]5[16O]3[18O]1 [12C]8[1H]5[16O]3[17O]1 [12C]5[13C]3[1H]5[16O]4 [12C]8[1H]4[2H]1[16O]4 [12C]7[13C]1[1H]5[16O]4 [12C]7[13C]1[1H]5[16O]3[18O]1 [12C]7[13C]1[1H]5[16O]3[17O]1 [12C]7[13C]1[1H]4[2H]1[16O]4 [12C]6[13C]2[1H]5[16O]4
Fumarate	[M1];[C4H4O4]n	0.9480599990016811 0.007793029052411146 0.001444561482885968 2.402193764464075E-5 5.451971971036331E-4 0.041015837417640734 3.3714913923299023E-4 6.249593800416402E-5 2.3586818999328324E-5 6.654242298121235E-4 0.9482780904215004 0.007794821758329044 0.001444893789348798 2.4027463643515554E-5 3.271935684557899E-4 0.041025272687799694 3.3722669691345727E-4 6.251031454981157E-5 1.4155346942189244E-5 6.655773037897353E-4	117.01823506919075 119.02248084709076 118.02245194709076 121.02672662499076 118.02451181505077 118.02158990699076 120.02583568489077 119.02580678489076 119.02786665285078 119.02494474479076 115.00368216472924 117.00792794262924 116.00789904262923 119.01217372052923 116.00995891058923 116.00703700252924 118.01128278042924 117.01125388042924 117.01331374838924 117.01039184032923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]5[16O]4 [12C]4[1H]5[16O]3[18O]1 [12C]4[1H]5[16O]3[17O]1 [12C]4[1H]5[16O]2[18O]2 [12C]4[1H]4[2H]1[16O]4 [12C]3[13C]1[1H]5[16O]4 [12C]3[13C]1[1H]5[16O]3[18O]1 [12C]3[13C]1[1H]5[16O]3[17O]1 [12C]3[13C]1[1H]4[2H]1[16O]4 [12C]2[13C]2[1H]5[16O]4 [12C]4[1H]3[16O]4 [12C]4[1H]3[16O]3[18O]1 [12C]4[1H]3[16O]3[17O]1 [12C]4[1H]3[16O]2[18O]2 [12C]4[1H]2[2H]1[16O]4 [12C]3[13C]1[1H]3[16O]4 [12C]3[13C]1[1H]3[16O]3[18O]1 [12C]3[13C]1[1H]3[16O]3[17O]1 [12C]3[13C]1[1H]2[2H]1[16O]4 [12C]2[13C]2[1H]3[16O]4
Methylmalonate	[M1];[C4H6O4]n	0.9478419577400042 0.007791236758791901 0.00144422925284923 2.401641291667261E-5 7.631005325419456E-4 0.041006404317469124 3.37071599389764E-4 6.248156476493184E-5 3.301395208005185E-5 6.652711910395022E-4 0.9480599990016811 0.007793029052411146 0.001444561482885968 2.402193764464075E-5 5.451971971036331E-4 0.041015837417640734 3.3714913923299023E-4 6.249593800416402E-5 2.3586818999328324E-5 6.654242298121235E-4	119.03388513347076 121.03813091137076 120.03810201137077 123.04237668927075 120.04016187933075 120.03723997127076 122.04148574917076 121.04145684917077 121.04351671713076 121.04059480907077 117.01933222900922 119.02357800690923 118.02354910690923 121.02782378480923 118.02560897486924 118.02268706680923 120.02693284470924 119.02690394470923 119.02896381266925 119.02604190460923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]7[16O]4 [12C]4[1H]7[16O]3[18O]1 [12C]4[1H]7[16O]3[17O]1 [12C]4[1H]7[16O]2[18O]2 [12C]4[1H]6[2H]1[16O]4 [12C]3[13C]1[1H]7[16O]4 [12C]3[13C]1[1H]7[16O]3[18O]1 [12C]3[13C]1[1H]7[16O]3[17O]1 [12C]3[13C]1[1H]6[2H]1[16O]4 [12C]2[13C]2[1H]7[16O]4 [12C]4[1H]5[16O]4 [12C]4[1H]5[16O]3[18O]1 [12C]4[1H]5[16O]3[17O]1 [12C]4[1H]5[16O]2[18O]2 [12C]4[1H]4[2H]1[16O]4 [12C]3[13C]1[1H]5[16O]4 [12C]3[13C]1[1H]5[16O]3[18O]1 [12C]3[13C]1[1H]5[16O]3[17O]1 [12C]3[13C]1[1H]4[2H]1[16O]4 [12C]2[13C]2[1H]5[16O]4
3_4-Dihydroxyphenylacetate	[M1];[C8H8O4]n	0.9077119905620098 0.007461369450372887 0.0013830831176300958 6.431368662890016E-5 9.395899630774332E-4 0.07854053006379065 6.456011573354085E-4 1.1967240965241713E-4 8.129879797779069E-5 0.0029731556159799475 0.907920800338835 0.0074630858614217034 0.0013834012816293885 6.432848132886163E-5 7.309603047078036E-4 0.07855859750227871 6.457496712197495E-4 1.1969993905536817E-4 6.324694438793897E-5 0.0029738395597496614	169.04953519775077 171.05378097565077 170.05375207565075 172.05959971115075 170.05581194361076 170.05289003555077 172.05713581345077 171.05710691345078 171.05916678141077 171.05624487335078 167.03498229328923 169.03922807118923 168.03919917118924 170.04504680668924 168.04125903914922 168.03833713108924 170.04258290898926 169.04255400898924 169.04461387694923 169.04169196888924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]8[1H]9[16O]4 [12C]8[1H]9[16O]3[18O]1 [12C]8[1H]9[16O]3[17O]1 [12C]5[13C]3[1H]9[16O]4 [12C]8[1H]8[2H]1[16O]4 [12C]7[13C]1[1H]9[16O]4 [12C]7[13C]1[1H]9[16O]3[18O]1 [12C]7[13C]1[1H]9[16O]3[17O]1 [12C]7[13C]1[1H]8[2H]1[16O]4 [12C]6[13C]2[1H]9[16O]4 [12C]8[1H]7[16O]4 [12C]8[1H]7[16O]3[18O]1 [12C]8[1H]7[16O]3[17O]1 [12C]5[13C]3[1H]7[16O]4 [12C]8[1H]6[2H]1[16O]4 [12C]7[13C]1[1H]7[16O]4 [12C]7[13C]1[1H]7[16O]3[18O]1 [12C]7[13C]1[1H]7[16O]3[17O]1 [12C]7[13C]1[1H]6[2H]1[16O]4 [12C]6[13C]2[1H]7[16O]4
Thymidine	[M1];[C10H14N2O5]n	0.8791145883247129 0.009032874415157136 0.0016743864769559562 7.023930755947876E-4 9.76971153767123E-4 0.006494181959681517 0.004627746253944129 0.09508264525497262 1.8109709191780813E-4 0.0015166470792742463 0.8793168195642478 0.009034952334706874 0.0016747716522871271 7.025546538738933E-4 1.8113875143507816E-4 0.006495675879228426 0.004628810819216526 0.09510451803636372 9.771958958997642E-4 0.0013147298391800596	243.09754802317073 245.10179380107073 244.10176490107074 245.09793775413075 246.10514863887076 244.09458291633078 245.10425769877074 244.10090286097076 245.10511973887074 244.10382476903075 241.08299511870925 243.08724089660925 242.08721199660923 243.08338484966927 243.09056683440923 242.08003001186924 243.08970479430926 242.08634995650922 244.09059573440922 242.0892718645692	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]10[1H]15[14N]2[16O]5 [12C]10[1H]15[14N]2[16O]4[18O]1 [12C]10[1H]15[14N]2[16O]4[17O]1 [12C]9[13C]1[1H]15[14N]1[15N]1[16O]5 [12C]9[13C]1[1H]15[14N]2[16O]4[18O]1 [12C]10[1H]15[14N]1[15N]1[16O]5 [12C]8[13C]2[1H]15[14N]2[16O]5 [12C]9[13C]1[1H]15[14N]2[16O]5 [12C]9[13C]1[1H]15[14N]2[16O]4[17O]1 [12C]10[1H]14[2H]1[14N]2[16O]5 [12C]10[1H]13[14N]2[16O]5 [12C]10[1H]13[14N]2[16O]4[18O]1 [12C]10[1H]13[14N]2[16O]4[17O]1 [12C]9[13C]1[1H]13[14N]1[15N]1[16O]5 [12C]9[13C]1[1H]13[14N]2[16O]4[17O]1 [12C]10[1H]13[14N]1[15N]1[16O]5 [12C]8[13C]2[1H]13[14N]2[16O]5 [12C]9[13C]1[1H]13[14N]2[16O]5 [12C]9[13C]1[1H]13[14N]2[16O]4[18O]1 [12C]10[1H]12[2H]1[14N]2[16O]5
Phenolsulfonphthalein	[M1];[C19H14O5S]n	0.7631384801215443 0.03448713873086933 0.006109609658615545 0.015265498832799297 0.007841223594580657 0.0016113623337493692 0.15682407056374234 0.0014534951053369017 0.007087066920030072 0.0013165652832172337 0.7633140322541346 0.03449507214126449 0.006111015111272963 0.0012558065016898777 0.007843027387155664 0.0016117330110267363 0.15686014632292117 0.001453829466887391 0.007088697226644179 0.01526901050328239	355.0634707026907 357.0592668426907 356.0628585126907 357.07018037829073 357.0677164805907 358.07107131839075 356.06682554049075 356.0676875805907 358.06262168049074 356.06974744855074 353.0489177982293 355.0447139382293 354.04830560822927 355.05166044602925 355.0531635761293 356.05651841392927 354.0522726360293 354.0531346761293 356.04806877602925 355.0556274738293	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]19[1H]15[16O]5[32S]1 [12C]19[1H]15[16O]5[34S]1 [12C]19[1H]15[16O]5[33S]1 [12C]17[13C]2[1H]15[16O]5[32S]1 [12C]19[1H]15[16O]4[18O]1[32S]1 [12C]18[13C]1[1H]15[16O]4[18O]1[32S]1 [12C]18[13C]1[1H]15[16O]5[32S]1 [12C]19[1H]15[16O]4[17O]1[32S]1 [12C]18[13C]1[1H]15[16O]5[34S]1 [12C]19[1H]14[2H]1[16O]5[32S]1 [12C]19[1H]13[16O]5[32S]1 [12C]19[1H]13[16O]5[34S]1 [12C]19[1H]13[16O]5[33S]1 [12C]18[13C]1[1H]13[16O]5[33S]1 [12C]19[1H]13[16O]4[18O]1[32S]1 [12C]18[13C]1[1H]13[16O]4[18O]1[32S]1 [12C]18[13C]1[1H]13[16O]5[32S]1 [12C]19[1H]13[16O]4[17O]1[32S]1 [12C]18[13C]1[1H]13[16O]5[34S]1 [12C]17[13C]2[1H]13[16O]5[32S]1
Pyruvate	[M1];[C3H4O3]n	0.9606483338072428 0.005922378632992715 0.0010978067709937712 1.2170450392087846E-5 5.524363221162075E-4 0.031170334089975233 1.9216451442339652E-4 3.5620739258971056E-5 1.7925003477135614E-5 3.3712986431086147E-4 0.960869321043586 0.00592374101508471 0.001098059310113263 1.2173250078614696E-5 3.315380426349401E-4 0.031177504503688586 1.9220871988701022E-4 3.5628933442470175E-5 1.0757476163531365E-5 3.3720741755733155E-4	89.02332044709075 91.02756622499076 90.02753732499076 93.03181200289076 90.02959719295077 90.02667528489076 92.03092106279077 91.03089216279076 91.03295203075078 91.03003012269076 87.00876754262924 89.01301332052924 88.01298442052924 91.01725909842924 88.01504428848924 88.01212238042925 90.01636815832924 89.01633925832924 89.01839912628924 89.01547721822924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]3[1H]5[16O]3 [12C]3[1H]5[16O]2[18O]1 [12C]3[1H]5[16O]2[17O]1 [12C]3[1H]5[16O]1[18O]2 [12C]3[1H]4[2H]1[16O]3 [12C]2[13C]1[1H]5[16O]3 [12C]2[13C]1[1H]5[16O]2[18O]1 [12C]2[13C]1[1H]5[16O]2[17O]1 [12C]2[13C]1[1H]4[2H]1[16O]3 [12C]1[13C]2[1H]5[16O]3 [12C]3[1H]3[16O]3 [12C]3[1H]3[16O]2[18O]1 [12C]3[1H]3[16O]2[17O]1 [12C]3[1H]3[16O]1[18O]2 [12C]3[1H]2[2H]1[16O]3 [12C]2[13C]1[1H]3[16O]3 [12C]2[13C]1[1H]3[16O]2[18O]1 [12C]2[13C]1[1H]3[16O]2[17O]1 [12C]2[13C]1[1H]2[2H]1[16O]3 [12C]1[13C]2[1H]3[16O]3
Malonate	[M1];[C3H4O4]n	0.9583139583560912 0.007877316337219392 0.0014601854673870088 2.4281752395270138E-5 5.510939018534652E-4 0.031094590178136594 2.5559673953779696E-4 4.737890781676235E-5 1.7881445718686176E-5 3.363106387405861E-4 0.9585344085934501 0.007879128432557407 0.0014605213679862506 2.4287338161847313E-5 3.3073240519133717E-4 0.03110174316774462 2.5565553693024644E-4 4.738980684560665E-5 1.0731335496453983E-5 3.363880035326673E-4	105.01823506919075 107.02248084709076 106.02245194709076 109.02672662499076 106.02451181505077 106.02158990699076 108.02583568489077 107.02580678489076 107.02786665285078 107.02494474479076 103.00368216472924 105.00792794262924 104.00789904262923 107.01217372052923 104.00995891058923 104.00703700252924 106.01128278042924 105.01125388042924 105.01331374838924 105.01039184032923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]3[1H]5[16O]4 [12C]3[1H]5[16O]3[18O]1 [12C]3[1H]5[16O]3[17O]1 [12C]3[1H]5[16O]2[18O]2 [12C]3[1H]4[2H]1[16O]4 [12C]2[13C]1[1H]5[16O]4 [12C]2[13C]1[1H]5[16O]3[18O]1 [12C]2[13C]1[1H]5[16O]3[17O]1 [12C]2[13C]1[1H]4[2H]1[16O]4 [12C]1[13C]2[1H]5[16O]4 [12C]3[1H]3[16O]4 [12C]3[1H]3[16O]3[18O]1 [12C]3[1H]3[16O]3[17O]1 [12C]3[1H]3[16O]2[18O]2 [12C]3[1H]2[2H]1[16O]4 [12C]2[13C]1[1H]3[16O]4 [12C]2[13C]1[1H]3[16O]3[18O]1 [12C]2[13C]1[1H]3[16O]3[17O]1 [12C]2[13C]1[1H]2[2H]1[16O]4 [12C]1[13C]2[1H]3[16O]4
