data,method,numberCovered,numberCoveredAsBP,numberClusters,numberNonSingletonClusters,numberCoveredSingleton,numberCoveredNonSingleton,truePositives,falsePositive,trueNegative,falseNegative,tpr,fpr,f1,mcc,ri,ba
std1_NEG,mzMatch,73,40,799,311,5,40,40,743,2777,33,0.5479452,0.21107955,0.093457945,0.11512124089291068,0.7840245,0.66843283
std1_NEG,greedy,73,28,127,111,0,28,28,97,3423,45,0.38356164,0.027556818,0.28282827,0.27409057110233837,0.9604787,0.6780024
std1_NEG,random,73,42,390,290,1,41,42,340,3180,31,0.5753425,0.09659091,0.18461539,0.21912459511977786,0.89674366,0.73937577
std1_NEG,mixture,73,31,158,129,0,31,31,125,3395,42,0.42465752,0.035511363,0.27074236,0.2693974358107687,0.9535207,0.69457304
std1_NEG,mixture2,73,34,250,169,1,34,34,211,3309,39,0.46575344,0.05994318,0.21383648,0.22713287575325758,0.9304203,0.7029051
std1_NEG,mixture3,73,30,142,123,0,30,30,110,3410,43,0.41095892,0.03125,0.28169015,0.2768351526406334,0.9574172,0.68985444
std1_POS,mzMatch,72,42,1403,447,4,40,42,1358,4816,30,0.5833333,0.21995465,0.05706522,0.09301506347487976,0.7777778,0.6816893
std1_POS,greedy,72,27,132,126,0,27,27,104,6070,45,0.375,0.016844833,0.26600984,0.26680066212649944,0.97614473,0.6790776
std1_POS,random,72,36,487,395,1,36,36,448,5726,36,0.5,0.07256236,0.1294964,0.17065264269427471,0.9225104,0.71371883
std1_POS,mixture,72,28,186,165,0,28,28,157,6017,44,0.3888889,0.025429219,0.21789883,0.2288483481637421,0.9678194,0.6817298
std1_POS,mixture2,72,32,409,281,1,32,32,374,5800,40,0.44444445,0.06057661,0.13389121,0.16621179562507335,0.9337176,0.69193393
std1_POS,mixture3,72,24,150,140,0,24,24,125,6049,48,0.33333334,0.020246193,0.21719457,0.21900980472339704,0.97230226,0.65654355
std2_NEG,mzMatch,56,32,621,257,6,30,32,563,1717,24,0.5714286,0.24692982,0.09831029,0.11392435871082442,0.74871576,0.6622494
std2_NEG,greedy,56,21,115,92,1,21,21,86,2194,35,0.375,0.0377193,0.2576687,0.24677775369202523,0.9482021,0.6686404
std2_NEG,random,56,25,325,219,2,25,25,288,1992,31,0.44642857,0.12631579,0.13550135,0.14374552802424612,0.86344177,0.6600564
std2_NEG,mixture,56,23,142,107,1,23,23,108,2172,33,0.4107143,0.047368422,0.24598931,0.24156928507230485,0.9396404,0.68167293
std2_NEG,mixture2,56,25,206,126,1,25,25,162,2118,31,0.44642857,0.07105263,0.20576131,0.21158694038149164,0.91738015,0.687688
std2_NEG,mixture3,56,22,129,101,1,22,22,97,2183,34,0.39285713,0.04254386,0.25142857,0.24370347112953422,0.9439212,0.6751566
std2_POS,mzMatch,62,37,2370,769,6,36,37,2305,4468,25,0.5967742,0.34032187,0.030782029,0.05123082770316699,0.6591075,0.62822616
std2_POS,greedy,62,21,137,132,0,21,21,106,6667,41,0.33870968,0.015650377,0.22222222,0.2268142017852231,0.97849303,0.66152966
std2_POS,random,62,32,492,392,1,32,32,446,6327,30,0.516129,0.0658497,0.11851852,0.16738955102274586,0.93035847,0.7251396
std2_POS,mixture,62,25,194,176,0,25,25,156,6617,37,0.4032258,0.02303263,0.20576131,0.22449672789585218,0.97176296,0.6900966
std2_POS,mixture2,62,31,565,380,2,30,31,518,6255,31,0.5,0.07648014,0.101472996,0.1477361579833583,0.91967815,0.7117599
std2_POS,mixture3,62,24,158,148,0,24,24,122,6651,38,0.38709676,0.018012697,0.23076923,0.24202189977209482,0.97659105,0.68454206
std3_NEG,mzMatch,19,12,421,138,4,10,12,403,561,7,0.6315789,0.41804978,0.05529954,0.059521556875977974,0.58290946,0.60676455
std3_NEG,greedy,19,6,120,95,0,6,6,112,852,13,0.31578946,0.11618257,0.08759124,0.08455549031618767,0.87283826,0.59980345
std3_NEG,random,19,12,259,159,3,10,12,242,722,7,0.6315789,0.25103736,0.08791209,0.11968420468459848,0.7466938,0.6902708
std3_NEG,mixture,19,8,146,105,1,7,8,136,828,11,0.42105263,0.14107884,0.09815951,0.10901103740212001,0.8504578,0.6399869
std3_NEG,mixture2,19,9,216,103,1,9,9,204,760,10,0.47368422,0.21161826,0.077586204,0.08757713945076107,0.7822991,0.631033
std3_NEG,mixture3,19,7,128,100,0,7,7,119,845,12,0.36842105,0.12344398,0.096551724,0.10089393689285954,0.8667345,0.62248856
std3_POS,mzMatch,19,12,1151,243,2,10,12,1135,1150,7,0.6315789,0.49671772,0.02058319,0.02439262888067764,0.5043403,0.5674306
std3_POS,greedy,19,9,129,118,0,9,9,119,2166,10,0.47368422,0.052078776,0.12244898,0.16645301808969523,0.94401044,0.71080273
std3_POS,random,19,9,374,276,0,9,9,363,1922,10,0.47368422,0.15886214,0.046035804,0.07737667019163012,0.83810765,0.65741104
std3_POS,mixture,19,8,181,153,0,8,8,171,2114,11,0.42105263,0.07483589,0.08080808,0.11696663325482666,0.9210069,0.67310834
std3_POS,mixture2,19,9,440,287,0,9,9,428,1857,10,0.47368422,0.18730853,0.039473683,0.06606069729382702,0.8098958,0.6431878
std3_POS,mixture3,19,8,146,133,0,8,8,136,2149,11,0.42105263,0.059518598,0.09815951,0.13507064250792453,0.93619794,0.68076706
