data,method,numberCovered,numberCoveredAsBP,numberClusters,numberNonSingletonClusters,numberCoveredSingleton,numberCoveredNonSingleton,truePositives,falsePositive,trueNegative,falseNegative,tpr,fpr,f1,mcc,ri,ba
std1_NEG,mzMatch,75,40,1411,543,6,40,40,1352,4797,35,0.53333336,0.21987315,0.05453306,0.08207902348579896,0.77715296,0.6567301
std1_NEG,greedy,75,28,130,122,0,28,28,100,6049,47,0.37333333,0.016262807,0.27586207,0.2745107889640342,0.9763817,0.6785352
std1_NEG,random,75,42,457,348,1,42,42,405,5744,33,0.56,0.06586437,0.16091955,0.20882096798926075,0.92962724,0.7470678
std1_NEG,corr,75,38,626,449,1,38,38,574,5575,37,0.50666666,0.09334851,0.11062591,0.1514547218595868,0.9018316,0.7066591
std1_NEG,mixture,75,32,176,153,0,32,32,142,6007,43,0.42666668,0.023093186,0.2570281,0.2671180202815306,0.97027636,0.70178676
std1_NEG,mixture2,75,36,328,227,1,36,36,285,5864,39,0.48,0.046349,0.18181819,0.21393622232180834,0.94794345,0.7168255
std1_NEG,mixture3,75,33,149,137,0,33,33,114,6035,42,0.44,0.0185396,0.2972973,0.30282126388620995,0.9749357,0.7107302
std1_POS,mzMatch,75,47,2183,752,9,41,47,2131,7028,28,0.62666667,0.23266733,0.04172215,0.08329941226477558,0.7661902,0.69699967
std1_POS,greedy,75,27,135,130,0,27,27,107,9052,48,0.36,0.011682498,0.2583732,0.26143086680746735,0.9832142,0.67415875
std1_POS,random,75,36,556,444,1,36,36,517,8642,39,0.48,0.05644721,0.11464968,0.16021927561989,0.93978775,0.7117764
std1_POS,corr,75,43,969,696,3,42,43,923,8236,32,0.5733333,0.1007752,0.08261287,0.1385865591136625,0.89657784,0.7362791
std1_POS,mixture,75,29,191,176,0,29,29,161,8998,46,0.38666666,0.017578337,0.21886793,0.23336079504459672,0.9775829,0.68454415
std1_POS,mixture2,75,34,494,329,1,34,34,458,8701,41,0.45333335,0.05000546,0.119929455,0.16118511971579091,0.9459606,0.701664
std1_POS,mixture3,75,28,156,150,0,28,28,127,9032,47,0.37333333,0.013866142,0.24347825,0.2511476169845392,0.9811566,0.67973363
std2_NEG,mzMatch,60,33,1207,463,5,31,33,1148,3214,27,0.55,0.263182,0.05318292,0.0749998430124135,0.73428315,0.643409
std2_NEG,greedy,60,21,126,114,1,21,21,97,4265,39,0.35,0.022237506,0.23595506,0.23528843266822355,0.96924466,0.66388124
std2_NEG,random,60,27,392,290,1,27,27,351,4011,33,0.45,0.08046768,0.12328767,0.1529042005724144,0.91316146,0.6847662
std2_NEG,corr,60,29,527,351,1,29,29,474,3888,31,0.48333332,0.10866575,0.103019536,0.1365189536632919,0.8857983,0.68733376
std2_NEG,mixture,60,23,166,129,0,23,23,132,4230,37,0.38333333,0.030261349,0.2139535,0.22210306147477704,0.961782,0.67653596
std2_NEG,mixture2,60,27,307,186,1,27,27,261,4101,33,0.45,0.05983494,0.15517241,0.1829301762569805,0.93351424,0.69508255
std2_NEG,mixture3,60,19,140,124,1,19,19,112,4250,41,0.31666666,0.025676295,0.19895288,0.19855561337235753,0.9654003,0.6454952
std2_POS,mzMatch,62,39,3224,1118,7,36,39,3156,7209,23,0.62903225,0.30448624,0.023948418,0.054124279390713556,0.6951184,0.662273
std2_POS,greedy,62,21,139,133,0,21,21,108,10257,41,0.33870968,0.010419682,0.21989529,0.22833203507475966,0.9857102,0.664145
std2_POS,random,62,33,548,450,1,33,33,498,9867,29,0.5322581,0.04804631,0.11129848,0.16933187696892343,0.9494581,0.7421059
std2_POS,corr,62,34,1418,1101,1,34,34,1364,9001,28,0.5483871,0.13159671,0.04657534,0.09404263063671875,0.86650044,0.7083952
std2_POS,mixture,62,25,199,184,0,25,25,161,10204,37,0.4032258,0.015533044,0.2016129,0.22518555921010064,0.98101085,0.6938464
std2_POS,mixture2,62,32,645,453,0,32,32,598,9767,30,0.516129,0.057694163,0.09248555,0.1479249095805448,0.9397718,0.7292174
std2_POS,mixture3,62,23,169,158,0,23,23,132,10233,39,0.37096775,0.012735167,0.21198156,0.22758949855327976,0.98360026,0.67911625
std3_NEG,mzMatch,25,16,736,242,4,13,16,714,1523,9,0.64,0.31917748,0.042384107,0.0717425886839227,0.68037134,0.66041124
std3_NEG,greedy,25,6,127,109,0,6,6,119,2118,19,0.24,0.053196244,0.08,0.08547346905426585,0.938992,0.59340185
std3_NEG,random,25,14,318,213,1,13,14,301,1936,11,0.56,0.1345552,0.08235294,0.1284718433537099,0.86206895,0.7127224
std3_NEG,corr,25,10,385,240,1,10,10,368,1869,15,0.4,0.16450603,0.049627792,0.06599278086181769,0.8306808,0.617747
std3_NEG,mixture,25,7,162,117,0,7,7,153,2084,18,0.28,0.068395175,0.075675674,0.08628836129805044,0.9244032,0.6058024
std3_NEG,mixture2,25,10,271,160,1,9,10,258,1979,15,0.4,0.115333036,0.06825939,0.09208949534373943,0.87931037,0.6423335
std3_NEG,mixture3,25,7,140,114,0,7,7,131,2106,18,0.28,0.058560573,0.08588957,0.09672553656276396,0.9341291,0.61071974
std3_POS,mzMatch,23,12,1619,426,2,11,12,1602,2561,11,0.5217391,0.38481864,0.014660965,0.02079449227317519,0.61466795,0.5684602
std3_POS,greedy,23,9,138,128,0,9,9,128,4035,14,0.39130434,0.030747058,0.1125,0.14979842006315156,0.9660774,0.68027866
std3_POS,random,23,10,432,331,1,10,10,417,3746,13,0.4347826,0.100168146,0.044444446,0.08172627950661543,0.89727664,0.6673072
std3_POS,corr,23,10,854,574,1,10,10,840,3323,13,0.4347826,0.20177756,0.022909507,0.04281638165750465,0.7962255,0.6165025
